id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
JmxtLG4_ajA,1652,201,3,41,98.5,2.4818
sqFJfdms-tM,563,29,0,7,100.0,1.2433
HT4CTEjEBi8,82030,1914,297,181,86.6,0.2207
jhUQigQkvYg,45137,920,38,0,96.0,0.0000
T12aunLdwHM,42,3,0,0,100.0,0.0000
mEHS39ivZYY,51390,1857,29,125,98.5,0.2432
uyuUHy5vq7M,613,48,3,16,94.1,2.6101
Vi3n7MwWWUo,13720,209,24,39,89.7,0.2843
sYEfLAxXmfc,237033,1186,55,0,95.6,0.0000
C23ziwAjg-A,662,74,3,63,96.1,9.5166
9IYw9MMAZFg,6607,169,1,16,99.4,0.2422
w375Uj3IzhE,11628,343,21,36,94.2,0.3096
sMfit4Nstkk,4288,94,3,12,96.9,0.2799
gg00u3bmsk8,75576,1383,28,115,98.0,0.1522
OmyNYNYRe30,47635,158,21,26,88.3,0.0546
F-GZ6oxdG6s,20566,91,8,19,91.9,0.0924
viu2iu0FVCU,3944,138,2,9,98.6,0.2282
fEBl8Njx8BQ,2703,120,5,21,96.0,0.7769
Mko9N4nu6sY,4935,158,4,34,97.5,0.6890
Mx0Hv7-3hZ8,56,3,0,3,100.0,5.3571
zXNnJcvqU0Q,33819,633,16,76,97.5,0.2247
29GHZg0CwuY,262,8,0,3,100.0,1.1450
ls_exrEJ3NQ,23314,205,4,20,98.1,0.0858
5I3j7LC9IHY,52826,177,14,7,92.7,0.0133
Z8PuS9TyKwY,67884,410,6,65,98.6,0.0958
oNCuo0_YU4w,4128,21,3,15,87.5,0.3634
7-mMW2vyC6s,52627,2517,88,155,96.6,0.2945
d15ba2xZzZc,46346,1048,124,139,89.4,0.2999
hBWUqIyoP6Q,62252,1332,59,88,95.8,0.1414
vyKbksvV_WM,495,29,0,7,100.0,1.4141
EII_s7dYrXY,15418,967,26,169,97.4,1.0961
7OrSS-Ff7Zg,5501,171,5,36,97.2,0.6544
mMX9WZL-6nc,4154,521,8,16,98.5,0.3852
sYxFmePmrM4,509,8,0,16,100.0,3.1434
4MhhF9RKA8M,3394,68,3,14,95.8,0.4125
u1zTug608Hg,38394,631,16,0,97.5,0.0000
cJBaGhyWR5o,42,5,0,0,100.0,0.0000
JsKqRL7xP0A,22,0,0,0,nan,0.0000
GZtgKJgZOLU,67654,4012,15,467,99.6,0.6903
yaq_W9vcg5Q,38,5,0,1,100.0,2.6316
ZMtozHMpZpk,32603,701,21,56,97.1,0.1718
okANKdshah0,99,0,0,0,nan,0.0000
XpPUO0xvdF8,36984,848,87,70,90.7,0.1893
TiWAUhASH_I,8922,106,2,5,98.1,0.0560
395NNppCIvE,35,6,0,2,100.0,5.7143
bLyy-kOVWIc,87244,4424,74,221,98.4,0.2533
LYAzEd0j1Q8,20411,167,4,28,97.7,0.1372
ur7-Nqft8G4,44415,1228,40,63,96.8,0.1418
mF2e3XdONwk,9959,377,7,37,98.2,0.3715
z2wza68inF8,2987,36,3,5,92.3,0.1674
9XVDxttHcdU,17107,84,14,15,85.7,0.0877
OW-5t0GbqAI,16163,71,6,5,92.2,0.0309
pb9_AUtX5hU,115,9,0,0,100.0,0.0000
y9Yb0sdVh0M,2017,87,6,14,93.5,0.6941
6sEV-SUHuTg,2462,186,3,9,98.4,0.3656
iAEFa0CZNyM,8285,234,8,24,96.7,0.2897
rZDTeybp1Kg,173856,3507,172,1028,95.3,0.5913
QWMDsMlkx88,41,1,0,0,100.0,0.0000
No130lDMtiE,21845,1006,23,98,97.8,0.4486
XQ5BsxW4KmE,270,39,0,21,100.0,7.7778
LrIFL_sZffE,379,13,0,4,100.0,1.0554
2mmKWbfzEBQ,3227,15,2,8,88.2,0.2479
Nd42kr-DjlY,5811,26,22,18,54.2,0.3098
2zw0CwKp0e4,176824,2347,121,209,95.1,0.1182
tX3vOTvV1FM,6525,190,1,17,99.5,0.2605
W9hHlbNCU-U,683,21,3,0,87.5,0.0000
pfOnr28YKTs,493,47,2,7,95.9,1.4199
4_De_ZS71Xs,582,45,0,20,100.0,3.4364
IIzrEpenucc,70185,2089,31,91,98.5,0.1297
AP3jpZhWIuQ,2299,91,1,31,98.9,1.3484
x4sbIC3FGUs,113580,2671,37,181,98.6,0.1594
3yvIG6n2K0U,1162,37,0,6,100.0,0.5164
VONBCPYE5GE,593,1,0,0,100.0,0.0000
xSBdoEd8GCY,5916,300,5,15,98.4,0.2535
dEAL4ArrkA4,40115,296,13,56,95.8,0.1396
hJh_OdBnUcE,8462,80,1,9,98.8,0.1064
K2Z4zPhVNMM,159268,2864,88,332,97.0,0.2085
jyBhqCeZmtQ,2262,2,14,7,12.5,0.3095
KYmXZM_MJe4,2365,100,2,35,98.0,1.4799
aAOkrfCaGxg,133,12,3,8,80.0,6.0150
YM3l-4qOR18,2466,168,1,36,99.4,1.4599
oP6UlEVQUh4,14,0,0,2,nan,14.2857
ABBR1JwftWo,624,39,1,1,97.5,0.1603
nz2LTYZ97fY,5074,69,2,5,97.2,0.0985
yb_LciAvR3Q,375,6,1,0,85.7,0.0000
jgNVilB-3cc,92584,214,129,49,62.4,0.0529
ieOtY4J1jZg,9,2,0,0,100.0,0.0000
upYcHTFn_vw,11517,209,14,37,93.7,0.3213
PqGshJcR0EE,32599,111,19,56,85.4,0.1718
wm9PqgAr1qc,222,13,0,0,100.0,0.0000
7q5FG4E7ZWg,705,45,3,4,93.8,0.5674
mpX_Vof3l5w,465,16,0,0,100.0,0.0000
ZH2hr-mQsCU,2303,72,0,6,100.0,0.2605
V2qkejG7J_k,2336,142,1,15,99.3,0.6421
CpRpCu4TuYI,15626,793,16,111,98.0,0.7104
QXetJKYZL5Q,583,31,2,5,93.9,0.8576
f9Pi8IQ0qZc,2927,20,5,4,80.0,0.1367
IJbnHFmesHc,846,51,0,15,100.0,1.7730
0yDakfRO9-M,1025,3,3,0,50.0,0.0000
RGzIynMHsOA,10,1,0,1,100.0,10.0000
dfQKWXihhdk,5778,288,7,43,97.6,0.7442
C96ghhi87zQ,31924,53,82,38,39.3,0.1190
4l8R1GyXuUA,38,4,0,0,100.0,0.0000
2KjnaowJ-wA,56233,212,35,60,85.8,0.1067
AzmarAsWny8,895,50,3,16,94.3,1.7877
nOxDIXb7IKo,49339,1074,42,72,96.2,0.1459
lz-VPgfR7zI,2808,121,4,19,96.8,0.6766
wyT0kfTmPf8,955,62,0,4,100.0,0.4188
9zFUi9GnR8c,954,21,2,8,91.3,0.8386
