id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
uj-kHL9q37Y,660,6.0,0.0,0,2.0
XqTvsgeI1H4,2782,245.0,0.0,0,20.0
AwzsOv4r4_E,14221,244.0,6.0,0,30.0
uyuUHy5vq7M,528,39.0,2.0,0,16.0
nP6yzuh_rKI,31895,955.0,23.0,0,74.0
602Ferj9pyQ,443,40.0,0.0,0,3.0
Ao0nwmglriM,5272,156.0,12.0,0,20.0
hIJEruoIIbM,16058,286.0,25.0,0,10.0
xrzgleKplAE,3453,55.0,0.0,0,13.0
2mqibVWgKsw,7742,111.0,3.0,0,14.0
HVHfFHpRu0U,111042,3916.0,82.0,0,541.0
4QAwUv-hbs0,557,22.0,1.0,0,6.0
fjnkmeHDjSg,23455,,,0,73.0
lYMgI7OxeXw,4618,188.0,6.0,0,8.0
rM2-Ir_X0DU,89946,1642.0,42.0,0,177.0
yb_LciAvR3Q,374,6.0,1.0,0,0.0
4_De_ZS71Xs,573,45.0,0.0,0,20.0
sqFJfdms-tM,535,27.0,0.0,0,7.0
qmDNRjpRcng,108153,1262.0,43.0,0,130.0
gSmp25oSeaQ,1111,0.0,8.0,0,2.0
pCpNcPlNS4c,13600,736.0,9.0,0,83.0
k6lUyzVOpK4,1774,150.0,9.0,0,29.0
wmkBIczrCeA,1105,49.0,2.0,0,28.0
K2-iji7PE5I,40,3.0,0.0,0,3.0
5YgVeRP1VdI,146278,,,0,99.0
C2Rw29e8R58,252,20.0,0.0,0,9.0
zGXokGLhQXI,28508,1432.0,23.0,0,75.0
oKY7v7n1Kj8,55323,735.0,50.0,0,58.0
EII_s7dYrXY,15400,967.0,26.0,0,172.0
C3GAiwzDCNE,18,3.0,0.0,0,0.0
2XUa77FBRos,29132,111.0,8.0,0,
DEo317XNGM8,38963,1209.0,51.0,0,95.0
tX3vOTvV1FM,6212,184.0,1.0,0,17.0
u1zTug608Hg,38115,622.0,16.0,0,0.0
xHNJahvINwQ,201581,5008.0,180.0,0,199.0
ibMtKtYUMKY,307,21.0,0.0,0,7.0
EICMohyZAy4,101,4.0,0.0,0,6.0
fmt2SrKnOcI,3020,164.0,3.0,0,15.0
nz2LTYZ97fY,5061,69.0,2.0,0,5.0
dKParheu5hg,149,4.0,0.0,0,0.0
ZLQPYFYmaAY,401,4.0,0.0,0,0.0
u891T7F0LLs,23948,430.0,9.0,0,7.0
KxlKibsyN0I,2974,86.0,6.0,0,19.0
Qd-H2ia7I4U,34,1.0,0.0,0,2.0
IIzrEpenucc,70081,2082.0,31.0,0,91.0
e0q7-7OlGp8,224155,735.0,77.0,0,355.0
kuDzlPg-Cxc,128504,2713.0,66.0,0,143.0
LYAzEd0j1Q8,20385,167.0,4.0,0,28.0
sYEfLAxXmfc,236911,1185.0,55.0,0,
xZrrpdJO-WQ,50500,1702.0,36.0,0,157.0
H14jy5_jco8,24566,1273.0,31.0,0,91.0
EgGYJlY-mSA,104136,675.0,18.0,0,90.0
uDZvQ8Y0Ar0,13893,169.0,3.0,0,16.0
8HzJHv8xqDk,33,8.0,0.0,0,0.0
wXNHHdsRCdo,722,44.0,1.0,0,28.0
lQg4XcIU2E8,8148,69.0,5.0,0,11.0
7-ZNK-tBxDU,753,125.0,3.0,0,23.0
9wziXuEVwSA,54065,2638.0,48.0,0,130.0
0WzXv9s1mdg,952,71.0,0.0,0,15.0
CpRpCu4TuYI,15574,792.0,16.0,0,116.0
QWMDsMlkx88,35,1.0,0.0,0,0.0
m_ZZqYCxAJg,22,7.0,0.0,0,0.0
57VCp2Oypx4,53169,131.0,26.0,0,62.0
K6lgRrX8Gjo,7297,360.0,4.0,0,31.0
WSHYe-fhcXg,16368,1013.0,20.0,0,100.0
qlObH-DFiKk,421,13.0,0.0,0,3.0
Z8PuS9TyKwY,67876,410.0,6.0,0,65.0
d15ba2xZzZc,46250,1046.0,124.0,0,139.0
6sEV-SUHuTg,2077,163.0,3.0,0,7.0
cKGtZdfzkB4,627,10.0,0.0,0,1.0
okANKdshah0,99,0.0,0.0,0,0.0
XGzDkRi0JbE,3054,101.0,2.0,0,28.0
6nHrd3Ihpe8,54857,759.0,51.0,0,60.0
feSXBJt3wno,565,52.0,2.0,0,57.0
ykYnlkWqL7k,335,,,0,7.0
fEBl8Njx8BQ,2576,113.0,5.0,0,23.0
7-mMW2vyC6s,52507,2514.0,88.0,0,157.0
r93gjxYDpII,55199,1608.0,54.0,0,333.0
ur-qzxoa-O8,20356,187.0,12.0,0,28.0
ujk4AoxOzzw,1,0.0,0.0,0,0.0
W9hHlbNCU-U,681,21.0,3.0,0,0.0
GWK9U_ToJdg,2367,87.0,0.0,0,18.0
P86N1gPy0mU,19852,449.0,33.0,0,49.0
OmyNYNYRe30,47626,158.0,21.0,0,26.0
FrDk3limrKA,21020,2009.0,5.0,0,276.0
HPcPgkstKRI,64547,165.0,37.0,0,49.0
jBauBeDNkls,163,10.0,1.0,0,11.0
e5OCkPD44FM,26510,304.0,9.0,0,24.0
