id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ls5sQ4HnFSU,46764,1231.0,44.0,0,130.0
ou0PWOX3HAQ,10343,167.0,10.0,0,7.0
IJbnHFmesHc,710,47.0,0.0,0,15.0
6WnpwmT4Zlc,9154,175.0,20.0,0,14.0
xXo_hNsMJCI,5,0.0,0.0,0,0.0
ztFlrg1FbwY,78390,2834.0,147.0,0,667.0
qmF_xo5YKN0,666412,11970.0,561.0,0,480.0
LqQYuIynxOU,160397,1876.0,78.0,0,117.0
8xCVdaSX1YI,10591,218.0,3.0,0,50.0
wyT0kfTmPf8,781,57.0,0.0,0,3.0
g6mN3__pj1k,979,18.0,2.0,0,3.0
byUG4Hewtxg,2727,103.0,2.0,0,45.0
KYmXZM_MJe4,2336,98.0,2.0,0,35.0
xuiJhecQOAA,46,3.0,0.0,0,0.0
mpX_Vof3l5w,396,15.0,0.0,0,0.0
SmA9H_l1dE8,237155,4908.0,88.0,0,501.0
9FxQZmXchgU,2631,24.0,2.0,0,0.0
s43jrKzIPVw,29022,198.0,19.0,0,15.0
-SS5dIas22E,107853,239.0,44.0,0,118.0
GW2OlALvOc8,72928,726.0,18.0,0,72.0
xMx2rc4Zmcw,413,18.0,0.0,0,4.0
hNufPaAjbJ0,49,2.0,0.0,0,0.0
ZQv5ovIWJGs,16774,362.0,12.0,0,18.0
hpfSsE70dQ4,34377,923.0,22.0,0,54.0
9n6vlwCmz8Y,101670,833.0,93.0,0,141.0
RrZHoKO1Xfs,74645,750.0,17.0,0,107.0
Rt29IH_6HBA,131,10.0,0.0,0,4.0
FrDk3limrKA,20164,1970.0,4.0,0,276.0
ug3IZyOxPLs,1196,7.0,0.0,0,0.0
iJsdCsHk8vM,36,4.0,0.0,0,0.0
F4jW9T7E8GI,13609,293.0,17.0,0,54.0
rSu7C_Jdr9o,929,40.0,2.0,0,31.0
uhJtv2J9WSo,13036,260.0,3.0,0,35.0
Lg35An7lrMI,49305,728.0,21.0,0,82.0
AP3jpZhWIuQ,2267,90.0,1.0,0,31.0
tipmCy8HAlU,2475,37.0,5.0,0,3.0
4l8R1GyXuUA,31,4.0,0.0,0,0.0
AtyWc-msECg,16851,124.0,14.0,0,13.0
e5YGMMsWiJo,30641,700.0,36.0,0,87.0
fhu-xVuyhVQ,354,2.0,0.0,0,0.0
xaie7VUja8s,71,5.0,0.0,0,0.0
